date,NDWI_max,NDWI_mean,NDWI_min,NDWI_stdDev,cloud_cover,is_interpolated
2023-04-06,-0.4473248758963045,-0.5202523670543672,-0.6924564796905223,0.06453860593518951,0.660233,False
2023-04-07,-0.44480349368034167,-0.19485860422856682,-0.6834463616438831,0.06406356793678289,,True
2023-04-08,-0.4467533630419686,-0.22501628569938337,-0.6823854010440566,0.06401469847363576,,True
2023-04-09,-0.4525020069574525,-0.5207701996968528,-0.6878026285450772,0.06424771212562778,17.421305,False
2023-04-10,-0.4613769484030613,-0.2961747391915943,-0.6982270748009795,0.06461832347263871,,True
2023-04-11,-0.4727057103550624,-0.3342139905613509,-0.7121877704657983,0.06498224709454822,,True
2023-04-12,-0.48581581578972327,-0.3730137604268985,-0.7282137461935676,0.06519519757123601,,True
2023-04-13,-0.5000347876833114,-0.41187036029020285,-0.7448340326383227,0.06511288948258179,,True
2023-04-14,-0.5146901490120944,-0.4500801016532301,-0.7605776604540976,0.06459103740846525,,True
2023-04-15,-0.52910942275234,-0.4869392960179461,-0.7739736602949274,0.06348535592876611,,True
2023-04-16,-0.5426201318803155,-0.5217442548863166,-0.7835510628148463,0.06165155962336406,,True
2023-04-17,-0.5545497993722885,-0.5537912897603073,-0.7878388986678891,0.0589453630721388,,True
2023-04-18,-0.5642259482045264,-0.582376712141884,-0.7853661985080901,0.05522248085497002,,True
2023-04-19,-0.5709761013532969,-0.6524113887341891,-0.7746619929894842,0.050338627551737444,13.562956,False
2023-04-20,-0.5747261639553248,-0.6267238593614026,-0.7557411907023031,0.044357956692011216,,True
2023-04-21,-0.5777955697891647,-0.6351715114366528,-0.7345622119815668,0.03817837760412326,0.933338,False
2023-04-22,-0.5825709516736677,-0.6596846943178389,-0.7172662357003028,0.032712596872917055,,True
2023-04-23,-0.5893142099470444,-0.6747427786020853,-0.7047819631387778,0.028098754310520373,,True
2023-04-24,-0.5977560618273446,-0.6889804237102491,-0.6967349761790688,0.024281348035882108,,True
2023-04-25,-0.6076272245326182,-0.70241408419009,-0.6927508567032521,0.02120487616795109,,True
2023-04-26,-0.6186584152809153,-0.7150602145893674,-0.6924551865934043,0.018813836825676215,,True
2023-04-27,-0.6305803512902857,-0.7269352694558414,-0.6954735477316023,0.017052728128006327,,True
2023-04-28,-0.6431237497787795,-0.7380557033372712,-0.7014315219999229,0.015866048193890304,,True
2023-04-29,-0.6560193279644465,-0.7484379707814165,-0.7099546912804425,0.015198295142277003,,True
2023-04-30,-0.6689978030653368,-0.7580985263360367,-0.7206686374552378,0.014993967092115293,,True
2023-05-01,-0.6817898922995002,-0.767053824548892,-0.7331989424063854,0.015197562162354034,,True
2023-05-02,-0.6941263128849868,-0.775320319967742,-0.7471711880159622,0.0157535784719421,,True
2023-05-03,-0.7057377820398466,-0.7829144671403465,-0.7622109561660447,0.016606514139828357,,True
2023-05-04,-0.7163550169821296,-0.7898527206144653,-0.7779438287387097,0.01770086728496166,,True
2023-05-05,-0.7257087349298853,-0.7961515349378583,-0.7939953876160337,0.018981136026290882,,True
2023-05-06,-0.7335296531011644,-0.8018273646582851,-0.8099912146800936,0.020391818482764886,,True
2023-05-07,-0.7395484887140161,-0.8068966643235056,-0.825556891812966,0.021877412773332543,,True
2023-05-08,-0.7434959589864909,-0.8113758884812798,-0.8403180008967271,0.0233824170169427,,True
2023-05-09,-0.7451027811366384,-0.8067853358932677,-0.8539001238134544,0.02485132933254424,2.222638,False
2023-05-10,-0.7442033758577885,-0.8186439918481012,-0.8659901911680348,0.02623548482518524,,True
