date,BSI_max,BSI_mean,BSI_min,BSI_stdDev,cloud_cover,is_interpolated
2023-04-06,-0.02351271572541735,-0.08661714075172605,-0.28030178030475444,0.06878650988334273,0.660233,False
2023-04-07,-0.03483825685306113,-0.03884334833230542,-0.2884975643258922,0.0687432383654794,,True
2023-04-08,-0.044544299995707914,-0.04991190657769157,-0.29896511936725484,0.06961842216561591,,True
2023-04-09,-0.05298014696014623,-0.11455507578190423,-0.31110051169841363,0.07114835423252053,17.421305,False
2023-04-10,-0.060495099553164684,-0.0755860131285182,-0.32429980758894017,0.07306932751496167,,True
2023-04-11,-0.06743845958155185,-0.08948402257804745,-0.33795907330840597,0.07511763496170766,,True
2023-04-12,-0.07415952885209628,-0.10394278738455939,-0.3514743751263822,0.07702956952152683,,True
2023-04-13,-0.08100760917158656,-0.11885083994354467,-0.36424177931244045,0.07854142414318752,,True
2023-04-14,-0.08833200234681125,-0.134096712650494,-0.3756573521361521,0.07938949177545811,,True
2023-04-15,-0.09648201018455896,-0.14956893790089798,-0.38511715986708855,0.07931006536710694,,True
2023-04-16,-0.10580693449161822,-0.1651560480902472,-0.39201726877482135,0.07803943786690233,,True
2023-04-17,-0.11665607707477764,-0.1807465756140322,-0.39575374512892175,0.07531390222361266,,True
2023-04-18,-0.12937873974082573,-0.19622905286774361,-0.3957226551989611,0.07086975138600624,,True
2023-04-19,-0.14432422429655112,-0.22026082330735866,-0.39132006525451113,0.06444327830285144,13.562956,False
2023-04-20,-0.16154749472796764,-0.22642500439397817,-0.3826923592831898,0.0561104243062373,,True
2023-04-21,-0.1799261637379904,-0.24239524716487387,-0.37298719214480247,0.04730572426153565,0.933338,False
2023-04-22,-0.1982635182877053,-0.2552279623537821,-0.3654280609523713,0.03949536790792408,,True
2023-04-23,-0.2162428936539808,-0.2690801080974754,-0.3605405609595985,0.03291357094652048,,True
2023-04-24,-0.2337676371926309,-0.2825656282240675,-0.3581758119553567,0.027486555568927797,,True
2023-04-25,-0.25074109625946966,-0.29568437267603775,-0.3581849337285182,0.02314054396674896,,True
2023-04-26,-0.2670666182103111,-0.3084361913958653,-0.36041904606795533,0.01980175833158693,,True
2023-04-27,-0.2826475504009691,-0.3208209343260295,-0.3647292687625404,0.017396420855044645,,True
2023-04-28,-0.29738724018725793,-0.3328384514090097,-0.3709667216011461,0.015850753728725048,,True
2023-04-29,-0.31118903492499156,-0.3444885925872854,-0.3789825243726446,0.015090979144231098,,True
2023-04-30,-0.32395628196998383,-0.35577120780333604,-0.3886277968659084,0.015043319293165727,,True
2023-05-01,-0.3355923286780488,-0.3666861469996411,-0.3997536588698098,0.015633996367131885,,True
2023-05-02,-0.34600052240500073,-0.37723326011867997,-0.4122112301732213,0.016789232557732518,,True
2023-05-03,-0.3550842105066534,-0.3874123971029324,-0.42585163056501524,0.01843525005657057,,True
2023-05-04,-0.362746740338821,-0.3972234078948776,-0.44052597983406416,0.02049827105524899,,True
2023-05-05,-0.3688914592573174,-0.40666614243699517,-0.4560853977692402,0.02290451774537072,,True
2023-05-06,-0.3734217146179568,-0.4157404506717647,-0.4723810041594159,0.02558021231853871,,True
2023-05-07,-0.37624085377655314,-0.4244461825416656,-0.4892639187934637,0.028451576966355904,,True
2023-05-08,-0.37725222408892034,-0.4327831879891776,-0.5065852614602558,0.03144483388042523,,True
2023-05-09,-0.3763591729108726,-0.4438119224229769,-0.524196151948665,0.03448620525234967,2.222638,False
2023-05-10,-0.3735354276923166,-0.44834086300698106,-0.5419209774328245,0.037505262156156655,,True
2023-05-11,-0.36903623625953064,-0.455534500237061,-0.5594771946279132,0.040444971195571736,,True
2023-05-12,-0.3631872265328855,-0.4623053463643293,-0.5765555276343711,0.043251647856744964,,True
2023-05-13,-0.35631402643275206,-0.4686265191060952,-0.5928467005526378,0.045871607625826386,,True
2023-05-14,-0.34874226387950147,-0.4744711361796681,-0.6080414374831534,0.048251165988966054,,True
2023-05-15,-0.3407975667935046,-0.479812315302357,-0.6218304625263579,0.050336638432314035,,True
2023-05-16,-0.33280556309513226,-0.4846231741914715,-0.6339044997826911,0.05207434044202038,,True
2023-05-17,-0.32509188070475553,-0.48887683056432074,-0.643954273352593,0.053410587504235135,,True
2023-05-18,-0.3179821475427453,-0.4925464021382141,-0.6516705073365033,0.05429169510510835,,True
2023-05-19,-0.3118019915294724,-0.4956050066304611,-0.6567439258348624,0.05466397873079008,,True
2023-05-20,-0.30687704058530796,-0.49802576175837115,-0.6588652529481097,0.054473753867430384,,True
2023-05-21,-0.30353292263062276,-0.499781785239254,-0.6577252127766852,0.0536673360011793,,True
2023-05-22,-0.3020952655857878,-0.5008461947904193,-0.6530145294210291,0.05219104061818691,,True
2023-05-23,-0.302889697371174,-0.5011921081291766,-0.6444239269815809,0.04999118320460324,,True
2023-05-24,-0.30624184590715225,-0.5007926429728361,-0.631644129558781,0.04701407924657836,,True
2023-05-25,-0.3124773391140936,-0.49962091703870765,-0.6143658612530689,0.043206044230262315,,True
2023-05-26,-0.3219218049123688,-0.49642293493410045,-0.5922798461648848,0.03851339364180515,25.210023,False
2023-05-27,-0.33495746222229417,-0.49509434897522286,-0.5661473592390525,0.033032555512531,,True
2023-05-28,-0.35219289396396564,-0.49312064276276046,-0.5410118787979322,0.02746040805446023,,True
2023-05-29,-0.37429327405742463,-0.49313694760629806,-0.5229874340082681,0.02264394202478727,,True
2023-05-30,-0.4019237764227124,-0.49655128170541973,-0.5181880540368041,0.019430148180706566,,True
