date,MCARI_max,MCARI_mean,MCARI_min,MCARI_stdDev,cloud_cover,is_interpolated
2023-04-06,0.11902988913525502,0.07729784644174123,0.059692555205047335,0.01719536241765803,0.660233,False
2023-04-07,0.11873983710979628,0.03049339417946774,0.065375978993528,0.015084455381958468,,True
2023-04-08,0.12001230931830398,0.036222314761082,0.0696116761452389,0.013998327300853266,,True
2023-04-09,0.12246869918699185,0.08785619820239897,0.0725744842105263,0.013750140326235142,17.421305,False
2023-04-10,0.12573040014207376,0.04782309312838395,0.07443924073973653,0.014153056609996837,,True
2023-04-11,0.12941880560976354,0.053124973301095724,0.07538078328321583,0.015020238304031082,,True
2023-04-12,0.1331553090162749,0.05809064030070786,0.0755739493913105,0.0161648475602306,,True
2023-04-13,0.1365613037878217,0.06272207216648681,0.07519357661436686,0.01740004653048814,,True
2023-04-14,0.1392581833506177,0.06702124693769904,0.07441450250273114,0.018538997366696418,,True
2023-04-15,0.14086734113087682,0.07099014265361099,0.07341156460674966,0.019394862220748172,,True
2023-04-16,0.14101017055481277,0.07463073735348913,0.0723596004767687,0.019780803244536137,,True
2023-04-17,0.13930806504863935,0.07794500907659989,0.07143344766313454,0.019509982589953047,,True
2023-04-18,0.1353824180385704,0.08093493586220973,0.07080794371619346,0.01839556240889162,,True
2023-04-19,0.1288546229508197,0.0886834801962034,0.07065792618629176,0.016250704853244598,13.562956,False
2023-04-20,0.11981580706294144,0.08594329593026759,0.07107257257241016,0.013075851612093327,,True
2023-04-21,0.11023603305785123,0.08747526109845201,0.07179842016806723,0.00962056252327358,0.933338,False
2023-04-22,0.1021252674342391,0.08972243671632275,0.07254937165945513,0.0066586040470896085,,True
2023-04-23,0.09577415654853151,0.0911876076993192,0.0732514315089226,0.00431145098496512,,True
2023-04-24,0.0910435167215891,0.0923860505785952,0.07388362962285762,0.002537505223603689,,True
2023-04-25,0.08779416427427238,0.09333003293439124,0.07442499590764802,0.0012951686497088845,,True
2023-04-26,0.0858869155274419,0.09403182234694783,0.07485456026968176,0.0005428431499842834,,True
2023-04-27,0.0851825868019583,0.09450368639650548,0.07515135261534676,0.00023893061113345446,,True
2023-04-28,0.08554199441868209,0.09475789266330471,0.07529440285103092,0.0003418329198599704,,True
2023-04-29,0.08682595469847386,0.09480670872758606,0.07526274088312217,0.000809951962867406,,True
2023-04-30,0.08889528396219416,0.09466240216959006,0.07503539661800837,0.001601689626859331,,True
2023-05-01,0.09161079853070359,0.09433724056955727,0.07459139996207748,0.002675447798539318,,True
2023-05-02,0.0948333147248627,0.09384349150772822,0.07390978082171744,0.003989628364610941,,True
2023-05-03,0.09842364886553207,0.09319342256434346,0.0729695691033161,0.005502633211777772,,True
2023-05-04,0.10224261727357227,0.09239930131964352,0.07174979471326141,0.007172864226743384,,True
2023-05-05,0.10615103626984383,0.09147339535386895,0.07022948755794128,0.008958723296211345,,True
2023-05-06,0.1100097221752074,0.09042797224726028,0.06838767754374367,0.010818612306885234,,True
2023-05-07,0.11367949131052348,0.08927529958005805,0.0662033945770564,0.012710933145468617,,True
2023-05-08,0.11702115999665264,0.08802764493250281,0.06365566856426745,0.014594087698665069,,True
2023-05-09,0.11989554455445547,0.0858989815144267,0.06072352941176472,0.016426477853178165,2.222638,False
2023-05-10,0.12218883006278489,0.08529733511759602,0.05740448755544164,0.018170177036612854,,True
2023-05-11,0.123888676632463,0.08383648276882422,0.05376997554921376,0.01980194484017962,,True
2023-05-12,0.12500811313230434,0.08232425407685894,0.04990990647650216,0.021302212395990325,,True
2023-05-13,0.12556016843112336,0.08077018428003936,0.0459141934207279,0.022651410836156828,,True
2023-05-14,0.12555787139773458,0.07918380861670472,0.04187274946531206,0.02382997129279099,,True
2023-05-15,0.12501425090095244,0.07757466232519424,0.03787548769367571,0.024818324898004684,,True
2023-05-16,0.12394233580959153,0.07595228064384714,0.03401232118923992,0.025596902783909768,,True
2023-05-17,0.12235515499246624,0.07432619881100269,0.030373163035425754,0.026146136082618097,,True
2023-05-18,0.1202657373183911,0.07270595206500013,0.0270479263156543,0.026446455926241536,,True
2023-05-19,0.11768711165618058,0.07110107564417874,0.024126524113346613,0.02647829344689195,,True
2023-05-20,0.11463230687464916,0.06952110478687779,0.021698869511923766,0.0262220797766812,,True
2023-05-21,0.11111435184261133,0.06797557473143656,0.01985487559480683,0.025658246047721146,,True
2023-05-22,0.10714627542888161,0.0664740207161944,0.01868445544541689,0.024767223392123654,,True
2023-05-23,0.10274110650227446,0.06502597797949063,0.018277522147175002,0.023529442942000586,,True
2023-05-24,0.09791187393160436,0.06364098175966458,0.018723988783502243,0.0219253358294638,,True
2023-05-25,0.09267160658568582,0.06232856729505563,0.02011376843781968,0.019935333186625163,,True
2023-05-26,0.08703333333333332,0.06040393805938365,0.022536774193548395,0.017539866145596536,25.210023,False
2023-05-27,0.08118090179275793,0.059978202972417044,0.026001232629090376,0.01479733985061171,,True
2023-05-28,0.07598143457975694,0.05906385059884407,0.03018862430277133,0.012078055494392207,,True
2023-05-29,0.07247287305952428,0.05846927494940146,0.03469874326789788,0.00983028828178148,,True
2023-05-30,0.07169315859725384,0.058308538270206524,0.039131383577776645,0.008502313417622975,,True
2023-05-31,0.07468023255813955,0.05537524748298727,0.04308633928571427,0.008542406106760152,28.950077,False
2023-06-01,0.08173271783953555,0.059677215793172506,0.046249490436875325,0.010114015590893897,,True
2023-06-02,0.09019196346743719,0.06099585985118666,0.04865106104385618,0.01224128725915487,,True
2023-06-03,0.09666000000000002,0.0647355932465043,0.05040736111111112,0.013663540537531162,8.780912,False
