date,NDRE_max,NDRE_mean,NDRE_min,NDRE_stdDev,cloud_cover,is_interpolated
2023-04-06,0.5397839982367203,0.34951411596735615,0.29525701514775265,0.07719957906012459,0.660233,False
2023-04-07,0.5404026363013023,0.13409361132344164,0.29586339927576727,0.07662853787541991,,True
2023-04-08,0.5443786885302894,0.15731920007880507,0.2994767929455547,0.07621435451477941,,True
2023-04-09,0.5510987838702796,0.36150770759158196,0.30575939515232375,0.07586789473932053,17.421305,False
2023-04-10,0.5599495512678712,0.21171521618655337,0.3143734048912834,0.07550002431016067,,True
2023-04-11,0.5703176196696622,0.2408173137102608,0.3249810211576426,0.07502160898841735,,True
2023-04-12,0.5815896180222507,0.27069945260779515,0.3372444429466103,0.0743435145352079,,True
2023-04-13,0.5931521752722351,0.30097448410332767,0.3508258692533955,0.07337660671164983,,True
2023-04-14,0.6043919203662133,0.33125525942102985,0.36538749907320694,0.07203175127886054,,True
2023-04-15,0.6146954822507835,0.3611546297850735,0.3805915314012539,0.07021981399795747,,True
2023-04-16,0.623449489872544,0.39028544641963003,0.39610016523274505,0.06785166063005808,,True
2023-04-17,0.6300405721780928,0.41826056054887095,0.41157559956288947,0.06483815693627977,,True
2023-04-18,0.6338553581140279,0.4446928233969677,0.4266800333868959,0.061090168677739976,,True
2023-04-19,0.6342804766269478,0.49601541639171975,0.44107566569997364,0.05651856161555615,13.562956,False
2023-04-20,0.6313065293555596,0.49148664693824395,0.4546373139445714,0.05117398116366756,,True
2023-04-21,0.6273400087070091,0.51384576015158,0.468090269352099,0.045666191347300815,0.933338,False
2023-04-22,0.6248655688634451,0.5311155610466433,0.4821835739988619,0.040616682125505336,,True
2023-04-23,0.6242646203385941,0.5490208226061005,0.4969107995517893,0.036134728581334374,,True
2023-04-24,0.6253927627290774,0.5657447517351768,0.5120766500754663,0.03220155207884218,,True
2023-04-25,0.6281055956315158,0.5813355213579018,0.5274858296344781,0.02879837398208295,,True
2023-04-26,0.6322587186425302,0.595841304398305,0.5429430422934095,0.025906415655110905,,True
2023-04-27,0.6377077313587417,0.6093102737804164,0.5582529921168456,0.02350689846198028,,True
2023-04-28,0.6443082333767713,0.6217906024282656,0.5732203831693718,0.02158104376674529,,True
2023-04-29,0.6519158242932401,0.633330463265882,0.587649919515573,0.02011007293346016,,True
2023-04-30,0.6603861037047689,0.643978029217296,0.6013463052200341,0.019075207326179112,,True
2023-05-01,0.6695746712079785,0.6537814732065372,0.6141142443473401,0.018457668308956364,,True
2023-05-02,0.6793371263994903,0.662788968157636,0.6257584409620764,0.018238677245846144,,True
2023-05-03,0.689529068875925,0.671048686994622,0.636083599128828,0.018399455500902672,,True
2023-05-04,0.7000060982339039,0.6786088026415251,0.6448944229121799,0.01892122443818017,,True
2023-05-05,0.7106238140700475,0.6855174880223752,0.6519956163767171,0.019785205421732857,,True
2023-05-06,0.7212378159809772,0.6918229160612025,0.6571918835870248,0.020972619815614966,,True
2023-05-07,0.7317037035633138,0.697573259682037,0.660287928607688,0.02246468898388071,,True
2023-05-08,0.7418770764136782,0.7028166918089087,0.6610884555032916,0.024242634290584306,,True
2023-05-09,0.7516135341286916,0.7029207746521889,0.6593981683384212,0.02628767709977999,2.222638,False
2023-05-10,0.760780473619101,0.7119767309710214,0.6551285554730827,0.0285712390668758,,True
2023-05-11,0.7692924810521576,0.7159501839120174,0.6486182424489666,0.031025543012695066,,True
2023-05-12,0.7770759399092391,0.7195304171705599,0.6403126391031858,0.033573012049414964,,True
2023-05-13,0.7840572336717229,0.7227261037283741,0.6306571552728517,0.03613606928921264,,True
2023-05-14,0.7901627458209863,0.725545916567185,0.620097200795077,0.03863713784426526,,True
2023-05-15,0.7953188598384069,0.727998528668718,0.6090781855069733,0.04099864082674997,,True
2023-05-16,0.7994519592053624,0.7300926130146976,0.5980455192456532,0.04314300134884396,,True
2023-05-17,0.8024884274032299,0.7318368425868494,0.5874446118482284,0.04499264252272438,,True
2023-05-18,0.8043546479133871,0.7332398903668988,0.577720873151811,0.04646998746056836,,True
2023-05-19,0.8049770042172112,0.7343104293365714,0.5693197129935134,0.0474974592745531,,True
2023-05-20,0.8042818797960798,0.7350571324775923,0.5626865412104474,0.04799748107685574,,True
2023-05-21,0.8021956581313704,0.735488672771687,0.5582667676397252,0.047892475979653425,,True
2023-05-22,0.7986447227044604,0.7356137232005812,0.556505802118459,0.047104867095123355,,True
2023-05-23,0.7935554569967274,0.7354409567460005,0.5578490544837607,0.04555707753544266,,True
2023-05-24,0.7868542444895485,0.7349790463896713,0.5627419345727426,0.0431715304127885,,True
2023-05-25,0.7784674686643017,0.7342366651133193,0.5716298522225167,0.039870648839338045,,True
2023-05-26,0.7683215130023641,0.7286608277033232,0.584958217270195,0.03557685592726846,25.210023,False
2023-05-27,0.7568896667459454,0.732089462762278,0.6029336212839175,0.030348114869609463,,True
2023-05-28,0.7468328421805837,0.7315220572780428,0.6248073827559333,0.024784549182801086,,True
2023-05-29,0.7413588573526488,0.7323490120546932,0.6495920019095195,0.01962182246413592,,True
2023-05-30,0.7436755303085111,0.7353990697009567,0.676299978967953,0.015595598310906565,,True
2023-05-31,0.7569906790945407,0.731364082193023,0.7039438141545111,0.013441540320405619,28.950077,False
2023-06-01,0.7813468559347017,0.7506066375156126,0.7304452802269161,0.013501285888912508,,True
2023-06-02,0.8041255497633336,0.7590593048653961,0.7493632400806721,0.014540367608653975,,True
2023-06-03,0.8095429836923697,0.7855004793802155,0.7531658291457286,0.014930291870843588,8.780912,False
